source_id,official_name,prefecture,action,target_candidate_id,match_rule
LASENS-497,こくみん共済 coop ホール／スペース・ゼロ,東京都,new,,no_match
LASENS-555,早稲田クローバースタジオ,東京都,new,,no_match
LASENS-285,早稲田小劇場どらま館,東京都,new,,no_match
LASENS-581,演劇練習室（B202）,東京都,new,,no_match
LASENS-582,演劇練習室（B203）,東京都,new,,no_match
LASENS-490,草月ホール,東京都,new,,no_match
LASENS-3430,大岡山劇場,東京都,new,,no_match
LASENS-310,池袋西口GEKIBA,東京都,new,,no_match
LASENS-482,新生館スタジオ,東京都,new,,no_match
LASENS-409,中目黒GTプラザホール,東京都,new,,no_match
LASENS-446,ザ・ポケット,東京都,new,,no_match
LASENS-2713,中野シアターかざあな,東京都,new,,no_match
LASENS-389,町田市民フォーラム,東京都,new,,no_match
LASENS-280,調布市グリーンホール 小ホール,東京都,attach_space,CAND-1299,name_room_of
LASENS-4008,鶴めいホール,東京都,new,,no_match
LASENS-2534,伝承ホール,東京都,tag_only,CAND-1440,name_parent_of
LASENS-437,東演パラータ,東京都,new,,no_match
LASENS-565,東京ウィメンズプラザ ホール,東京都,new,,no_match
LASENS-2311,シアターイースト（小ホール1）,東京都,new,,no_match
LASENS-2313,シアターウエスト（小ホール2）,東京都,new,,no_match
LASENS-306,シアターイースト（小ホール1）,東京都,new,,no_match
LASENS-308,シアターウエスト（小ホール2）,東京都,new,,no_match
LASENS-572,千代田区立内幸町ホール,東京都,attach_space,CAND-1405,name_room_of
LASENS-397,南大塚ホール,東京都,new,,no_match
LASENS-416,日暮里サニーホール,東京都,new,,no_match
LASENS-413,中央区立日本橋公会堂 ホール（日本橋劇場）,東京都,attach_space,CAND-1437,name_room_of
LASENS-574,梅ヶ丘BOX,東京都,new,,no_match
LASENS-327,銀座博品館劇場,東京都,new,,no_match
LASENS-3760,板橋シアター咲,東京都,new,,no_match
LASENS-342,板橋区立文化会館 小ホール,東京都,attach_space,CAND-1264,name_room_of
LASENS-685,表参道GROUND,東京都,new,,no_match
LASENS-408,武蔵野芸能劇場 小劇場,東京都,new,,no_match
LASENS-407,武蔵野公会堂,東京都,tag_only,CAND-1301,name_exact
LASENS-276,文学座アトリエ,東京都,new,,no_match
LASENS-433,あうるすぽっと（豊島区立舞台芸術交流センター）,東京都,new,,no_match
LASENS-366,北沢タウンホール,東京都,tag_only,CAND-1476,name_parent_of
LASENS-335,本多スタジオ（下北沢）,東京都,new,,no_match
LASENS-268,麻布区民センター 区民ホール,東京都,attach_space,CAND-1468,name_room_of
LASENS-401,両国門天ホール（旧・門仲天井ホール）,東京都,new,,no_match
LASENS-420,野方区民ホール,東京都,new,,no_match
LASENS-240,立川市市民会館 小ホール（たましんRISURUホール）,東京都,new,,no_match
LASENS-2137,両国門天ホール,東京都,new,,no_match
LASENS-460,六行会ホール,東京都,new,,no_match
LASENS-2010,六本木トリコロールシアター,東京都,new,,no_match
LASENS-351,吉祥寺櫂スタジオ,東京都,new,,no_match
LASENS-597,萬劇場,東京都,new,,no_match
